forward,"轉寄<br><div style=""text-align: right"">V
</div>"
get_the_hang_of_sth.,"掌握sth.的方法<br><div style=""text-align: right"">phr
</div>"
ink_cartridge,"墨水匣<br><div style=""text-align: right"">N
</div>"
toner_cartridge,"碳粉匣(雷射印表機)<br><div style=""text-align: right"">N
</div>"
correspondence,"通信<br>一致<br>調和<br><div style=""text-align: right"">N
</div>"
committee,"委員會<br>委員(all)<br><div style=""text-align: right"">N
</div>"
minutes,"會議紀錄<br><div style=""text-align: right"">N
</div>"
agenda,"議程<br><div style=""text-align: right"">N
</div>"
punch_in,"打卡<br><div style=""text-align: right"">phr
</div>"
clock_in,"打卡<br><div style=""text-align: right"">phr
</div>"
punch_out,"(下)打卡<br><div style=""text-align: right"">phr
</div>"
clock_out,"(下)打卡<br><div style=""text-align: right"">phr
</div>"
put_through,"轉接電括<br><div style=""text-align: right"">phr
</div>"
direct,"轉接(電話)<br><div style=""text-align: right"">V
</div>"
reception,"接待處<br><div style=""text-align: right"">N
</div>"
receptionist,"櫃員<br>接待人<br><div style=""text-align: right"">N
</div>"
recipient,"收件者<br><div style=""text-align: right"">N
</div>"
substitute,"取代<br><div style=""text-align: right"">V
</div>"
resolution,"決議<br><div style=""text-align: right"">N
</div>"
resolve,"決議(下定)<br><div style=""text-align: right"">V
</div>"
arrange,"安排<br><div style=""text-align: right"">V
</div>"
shareholder,"股東<br><div style=""text-align: right"">N
</div>"
stockholder,"股東<br><div style=""text-align: right"">N
</div>"
shareholding,"股權<br><div style=""text-align: right"">N
</div>"
share,"股份<br><div style=""text-align: right"">N
</div>"
staple,"裝訂<br><div style=""text-align: right"">V
</div>"
staple,"釘書針<br><div style=""text-align: right"">N
</div>"
state,"陳述<br><div style=""text-align: right"">V
</div>"
binder_clip,"長尾夾<br><div style=""text-align: right"">N
</div>"
post-it_note,"便利貼<br><div style=""text-align: right"">N
</div>"
inventory,"存貨<br><div style=""text-align: right"">N
</div>"
stockroom,"儲藏室<br><div style=""text-align: right"">N
</div>"
take_the_leap,"放手嘗試…<br><div style=""text-align: right"">phr
</div>"
make_the_,"leap<br><div style=""text-align: right"">勇敢嘗試</div>"
tidy_up,"收拾<br><div style=""text-align: right"">phr</div>"
